pl_name,ra,dec,sy_dist,sy_plx
11 Com b,185.1787793,17.7932516,93.1846000,10.7104000
11 UMi b,229.2745954,71.8239428,125.3210000,7.9538800
14 And b,352.8241500,39.2358367,75.4392000,13.2289000
14 Her b,242.6021014,43.8163621,17.9323000,55.7363000
16 Cyg B b,295.4656422,50.5168243,21.1397000,47.2754000
17 Sco b,243.4620874,-11.8377905,124.9530000,7.9805000
18 Del b,314.6078375,10.8391378,76.2220000,13.0922000
1RXS J160929.1-210524 b,242.3762343,-21.0831403,139.1350000,7.1594900
24 Boo b,217.1555242,49.8446488,95.9863000,10.3900000
24 Sex b,155.8684866,-0.9023998,72.0691000,13.8488000
24 Sex c,155.8684866,-0.9023998,72.0691000,13.8488000
2M0437 b,69.3405531,26.8502997,128.4840000,7.7552400
2MASS J01225093-2439505 b,20.7128012,-24.6646128,33.8281000,29.5326000
2MASS J02192210-3925225 b,34.8427046,-39.4230767,40.0896412,24.9440995
2MASS J0249-0557 c,42.4851627,-5.9599921,66.0613000,15.1097000
2MASS J03590986+2009361 b,59.7911026,20.1599759,117.4350000,8.4918300
2MASS J04414489+2301513 b,70.4371079,23.0308544,120.4239870,8.3039935
2MASS J11550485-7919108 b,178.7691634,-79.3197558,100.8620000,9.8861800
2MASS J12073346-3932539 b,181.8890906,-39.5484399,64.3080000,15.5242000
2MASS J19383260+4603591 b,294.6359173,46.0664076,396.3320000,2.4952200
2MASS J21252752-8138278 b,321.3662989,-81.6414894,34.1154000,29.2836000
2MASS J22362452+4751425 b,339.1025931,47.8616830,69.5737000,14.3444000
30 Ari B b,39.2412736,24.6480103,44.6570000,22.3641000
4 UMa b,130.0528099,64.3280504,73.4603000,13.5901000
42 Dra b,276.4975053,65.5633652,90.6545000,11.0061000
47 UMa b,164.8647611,40.4304931,13.7967000,72.4528000
47 UMa c,164.8647611,40.4304931,13.7967000,72.4528000
47 UMa d,164.8647611,40.4304931,13.7967000,72.4528000
51 Eri b,69.4007424,-2.4738245,29.7575000,33.5770000
51 Peg b,344.3675399,20.7690958,15.4614000,64.6488000
55 Cnc b,133.1468373,28.3298154,12.5855000,79.4274000
55 Cnc c,133.1468373,28.3298154,12.5855000,79.4274000
55 Cnc d,133.1468373,28.3298154,12.5855000,79.4274000
55 Cnc e,133.1468373,28.3298154,12.5855000,79.4274000
55 Cnc f,133.1468373,28.3298154,12.5855000,79.4274000
6 Lyn b,97.6960311,58.1611753,54.6599000,18.2668000
61 Vir b,199.5964550,-18.3157745,8.5033200,117.5730000
61 Vir c,199.5964550,-18.3157745,8.5033200,117.5730000
61 Vir d,199.5964550,-18.3157745,8.5033200,117.5730000
7 CMa b,99.1712760,-19.2561808,19.8101000,50.4571000
7 CMa c,99.1712760,-19.2561808,19.8101000,50.4571000
70 Vir b,202.1064898,13.7763085,17.9011000,55.8347000
75 Cet b,38.0391598,-1.0350269,82.9613000,12.0264000
75 Cet c,38.0391598,-1.0350269,82.9613000,12.0264000
8 UMi b,224.2016850,74.9009379,162.5520000,6.1230400
81 Cet b,39.4243555,-3.3963607,101.2600000,9.8489500
91 Aqr b,348.9745031,-9.0878076,44.0304000,22.6884000
AB Aur b,73.9410446,30.5510888,162.1270000,6.1399600
AB Pic b,94.8039208,-58.0541184,50.0475000,19.9521000
AF Lep b,81.7699216,-11.9011752,26.8564000,37.2061000
AU Mic b,311.2911369,-31.3424500,9.7221000,102.8290000
AU Mic c,311.2911369,-31.3424500,9.7221000,102.8290000
AU Mic d,311.2911369,-31.3424500,9.7221000,102.8290000
